1	是一个朋友送给我的，如今我又在把它推荐给其他朋友。是它为我打开了一扇门，通向图画书的宫殿的门。就连我这个所谓的教育工作者也要感叹自己的无知。感谢作者告诉了我们世界上有这么多的好的图画书。我给晓晓买的图画书都是这样按图索骥买来的，本本都让她爱不释手！当然了，现在还发现了它另外一个妙用：省钱。哈哈，试想，把那里面的书都买下来要多少钱啊？嘿嘿，我不做傻瓜。就这样讲故事，也不错。
0	跟住招待所没什么太大区别。 绝对不会再住第2次的酒店！
0	差得要命,很大股霉味,勉强住了一晚,第二天大早赶紧溜
0	1.上了半天网，都上不去，问酒店，答曰坏了。气愤！ 2.晚上入住适逢变天，天气变冷，开了半天空调，竟然还是冷风，问酒店，答曰晚上关空调。晕！床上只有一床单被，到处找被子，无。问酒店要，半小时催了三次电话才来。还是冷，要求在加一床被子，服务员去后再也没回，打到总台，又等了半天，回复没被子了。不把顾客当人啊。 3.一晚没睡成，凌晨5点多，被不知道哪里来的低沉的轰鸣声吵醒。在房间找了半天没查出哪里来得声音，叫来服务员，（半小时催了三四次才来，人都要疯掉）。六点多服务员才来，也解决不了。就这么一夜没睡。买气受来了。 4.到总台要求当班经理来解释，换了几个人来，说了几遍，酒店不断去落实事情真相，最后才来一个自称客服经理的，说却有其事，表示道歉，做了一小时的冷板凳，一口热水没喝，口都讲干了。这就是他们的诚意。 总结：硬件老旧，服务太差。
1	拿回家的那天，我女儿第一时间要我给她讲完6本故事！累死我了。因为有第一套“神奇校车”，小家伙都很喜欢。但是，我个人认为，这一套没有第一套好看，人物画得和第一套有点差别，有时候故事衔接不上，感觉不是正版或不是一个时间翻译出来的版本一样。总之没有第一套好看，对于5岁的孩子来说，内容有点深了，不够第一套吸引人。但是总体来说还是很好的，也许放到大一点再读是不是不一样呢？
0	没有比这更差的酒店了。房间灯光暗淡，空调无法调节，前台服务僵化。用早餐时，服务员居然叫我回房间把拖鞋换成皮鞋再下来，到底谁是上帝，这家酒店的老总应该马上辞职。建议大家不要住这家酒店，有被骗的感觉！
0	语言轻松幽默，阅读起来让人心情大好，内容实用，但是不喜欢把博客回复内容以及跟读者互动的话题全部照搬上来。感觉比较杂乱。
1	acer的品质、服务都很不错，而且本品很超值。样子也算漂亮，基本性能只要不玩大游戏全能应付。
0	不是电脑高手千万别买，没有windows系统，而且主板和bios有很多限制 导致不能顺利安装windows 我搞了一天 才勉强搞定，要不是曾经搞过一段时间计算机 还真搞不定这个机器。
0	我家宝宝快两岁了，这套书对于她来说太简单了，没有吸引力，我是看了大家的评论才买的，不太理想。
1	桐华的书貌似我都看过了，都好喜欢，而且都那么紧张，让人沉沦，每次看了都不想放下，这次也是，3本书几个晚上就看完了，都熬到12点多实在不行，早上要早起上班，只能睡觉。情节很吸引，云歌我不知道这样算不算一个好结局，但是在我看来这个结局还是挺完美的。虽然不是大团圆，至少很符合人的心理！对于刘弗陵和云歌的爱情，中间还让我哭几次，可怜的人（但无可恨）……喜欢~值得一看
1	我住的是特色标间，所谓特色，是有些类似家的感觉。寝具不是单调的白色，是条纹和大格子的，感觉很温馨。圈儿椅的靠垫是卡通的加菲猫头，明黄的颜色有点扎眼，和周围配在一起感觉有点不协调。 客房硬件评价3.5分。加湿器、烫衣板、电熨斗、吹风机、小冰箱等俱全。缺点：液晶电视固定在墙上，位置不好。一是遮挡了一个电源插座；二是与桌子搭配不当。桌子（与冰箱柜一体）在电视下方，如果坐在桌子旁上网或工作学习，正好挡住了电视屏幕。错开坐，正好是冰箱柜，腿脚伸不开。
1	我是法语初学者,学了78个课时的初级班.因为我是老年人,法语又难,我只有再从头自学巩固一遍,然后准备报中级班.我们学的教材是孙辉老师的.买本练习答案对自学和检查做习题的正确性是非常必要的.而且孙辉老师的教材在网上还有视频,对我们学习法语有很大的帮助.孙辉老师的教材编写得很好,我向学法语的朋友推荐.我想学好了上下册,再结合(走遍法国)的阅读和学习,会达到我们预期的愿望.这仅只是个人看法,
1	房间较小,但挺干凈,另外空调噪声较大,晚上睡觉还是有点吵. 早餐是自助餐,挺丰富! 总体感觉不错!
0	价格还可以再往下一点(港行这个价钱可是双电+内包+xp),3芯电池有点小,1g内存有点小,最重要的是分辨率是1024*576,这个有点烦
1	这家YMCA非常好，还主动帮我们升级房间，住起又棒又舒适，地点也很方便，服务又好，号称香港物美价优第一流的YMCA，值得大家推荐。
1	LED屏就是爽，基本硬件配置都很均衡，镜面考漆不错，小黑，我喜欢。
0	一翻开这本书，就让人想起韩剧里头那些不温不火絮絮叨叨的韩国女人，可能这就是文化差异吧
0	破酒店上网慢的一踏糊涂。网卡只有10M的连接速度。什么年代了。还用这么慢的交换机。会还有早餐难吃的要死。没什么东西吃的。连煎个鸡蛋都等不到。还是他们的领班在煎店。一边煎还一边在吃。水果就更没什么好吃的了。住了几次就没吃到什么水果。。
1	希望大家也能像我一样，每家酒店都能尝试的住一下，因为每个酒店都各有特色
0	本书其实没说什么，也看不出价值在哪，作者倒是牛，把西医批评的一无是处，感觉就是根本不懂科学
1	还不错，可以住一下，并且建议你住高一点层次的房间
1	时时都在阅读着这篇令人太伤感的小说，我是那样的爱狗狗，也一直希望自己能养一只狗狗，也是天天观察着自己身边一些些可爱的狗，然而爸爸妈妈却因为家里的条件一直没有聊了我的心愿，当我看到了作者简介、文章简介，实在忍不住了，强烈要求父母给我买下它。狗狗这种伙伴，是给人开心、快乐和幸福的。而当我翻完此书的最后一页时，不禁有了非一般的伤感。同时，我敬佩作者与狗狗，并买下了金毛寻回犬……
